id,temperature,humidity,gas_raw,co_ppm,,
60,33.86,44,40,0.0977,,
61,33.86,44,40,0.0977,,
62,33.86,44,40,0.0977,,
63,33.86,44,40,0.0977,,
64,33.86,44,40,0.0977,,
65,33.86,44,40,0.0977,,
66,33.86,44,40,0.0977,,
67,33.86,44,40,0.0977,,
68,33.86,44,40,0.0977,,
69,33.86,44,40,0.0977,,
70,33.86,44,39,0.0952,,
71,33.86,44,22,0.0537,,
72,33.86,44,24,0.0586,,
73,33.86,44,28,0.0684,,
74,33.86,44,19,0.0464,,
75,33.86,44,27,0.0659,,
76,33.86,44,27,0.0659,,
77,33.86,44,28,0.0684,,
78,33.86,44,28,0.0684,,
79,33.86,44,28,0.0684,,
80,33.86,44,29,0.0708,,
81,33.86,44,29,0.0708,,
82,33.86,44,28,0.0684,,
83,33.86,44,42,0.1026,,
84,33.86,44,37,0.0904,,
85,33.86,44,31,0.0757,,
86,33.86,44,32,0.0781,,
87,33.86,44,31,0.0757,,
88,33.86,44,28,0.0684,,
89,33.86,44,33,0.0806,,
90,33.86,44,37,0.0904,,
91,33.86,44,34,0.083,,
92,33.86,44,48,0.1172,,
93,33.86,44,60,0.1465,,
94,33.86,44,21,0.0513,,
95,33.86,44,29,0.0708,,
96,33.86,44,29,0.0708,,
97,33.86,44,29,0.0708,,
98,33.86,44,36,0.0879,,
99,33.86,44,24,0.0586,,
100,33.86,44,24,0.0586,,
101,33.86,44,24,0.0586,,
102,33.86,44,18,0.044,,
103,33.86,44,24,0.0586,,
104,33.86,44,25,0.0611,,
105,33.86,44,26,0.0635,,
106,33.86,44,18,0.044,,
107,33.86,44,26,0.0635,,
108,33.86,44,27,0.0659,,
109,33.86,44,26,0.0635,,
110,33.86,44,27,0.0659,,
111,33.86,44,27,0.0659,,
112,33.86,44,27,0.0659,,
113,33.86,44,27,0.0659,,
114,33.86,44,19,0.0464,,
115,33.86,44,27,0.0659,,
116,33.86,44,27,0.0659,,
117,33.86,44,27,0.0659,,
118,33.86,44,18,0.044,,
119,33.86,44,27,0.0659,,
120,33.86,44,27,0.0659,,
121,33.86,44,27,0.0659,,
122,33.86,44,18,0.044,,
123,33.86,44,26,0.0635,,
124,33.86,44,27,0.0659,,
125,33.86,44,18,0.044,,
126,33.86,44,18,0.044,,
127,33.86,44,26,0.0635,,
128,33.86,44,27,0.0659,,
129,33.86,44,27,0.0659,,
130,33.86,44,27,0.0659,,
131,33.86,44,26,0.0635,,
132,33.86,44,27,0.0659,,
133,33.86,44,27,0.0659,,
134,33.86,44,18,0.044,,
135,33.86,44,27,0.0659,,
136,33.86,44,27,0.0659,,
137,33.86,44,18,0.044,,
138,33.86,44,18,0.044,,
139,33.86,44,26,0.0635,,
140,33.86,44,27,0.0659,,
141,33.86,44,26,0.0635,,
142,33.86,44,27,0.0659,,
143,33.86,44,27,0.0659,,
144,33.86,44,27,0.0659,,
145,33.86,44,27,0.0659,,
146,33.86,44,18,0.044,,
147,33.86,44,26,0.0635,,
148,33.86,44,27,0.0659,,
149,33.86,44,27,0.0659,,
150,33.86,44,27,0.0659,,
151,33.86,44,27,0.0659,,
152,33.86,44,26,0.0635,,
153,33.86,44,18,0.044,,
154,33.86,44,26,0.0635,,
155,33.86,44,26,0.0635,,
156,33.86,44,27,0.0659,,
157,33.86,44,27,0.0659,,
158,33.86,44,26,0.0635,,
159,33.86,44,18,0.044,,
160,33.86,44,27,0.0659,,
161,33.86,44,26,0.0635,,
162,33.86,44,18,0.044,,
163,33.86,44,26,0.0635,,
164,33.86,44,26,0.0635,,
165,33.86,44,26,0.0635,,
166,33.86,44,26,0.0635,,
167,33.86,44,26,0.0635,,
168,33.86,44,18,0.044,,
169,33.86,44,27,0.0659,,
170,33.86,44,26,0.0635,,
171,33.86,44,26,0.0635,,
172,33.86,44,27,0.0659,,
173,33.86,44,27,0.0659,,
174,33.86,44,27,0.0659,,
175,33.86,44,18,0.044,,
176,33.86,44,26,0.0635,,
177,33.86,44,18,0.044,,
178,33.86,44,26,0.0635,,
179,33.86,44,27,0.0659,,
180,33.86,44,18,0.044,,
181,33.86,44,27,0.0659,,
182,33.86,44,18,0.044,,
183,33.86,44,26,0.0635,,
184,33.86,44,26,0.0635,,
185,33.86,44,26,0.0635,,
186,33.86,44,27,0.0659,,
187,33.86,44,26,0.0635,,
188,33.86,44,26,0.0635,,
189,33.86,44,26,0.0635,,
190,33.86,44,26,0.0635,,
191,33.86,44,26,0.0635,,
192,33.86,44,26,0.0635,,
193,33.86,44,26,0.0635,,
194,33.86,44,18,0.044,,
195,33.86,44,26,0.0635,,
196,33.86,44,27,0.0659,,
197,33.86,44,18,0.044,,
198,33.86,44,26,0.0635,,
199,33.86,44,26,0.0635,,
200,33.86,44,18,0.044,,
201,33.86,44,27,0.0659,,
202,33.86,44,26,0.0635,,
203,33.86,44,27,0.0659,,
204,33.86,44,26,0.0635,,
205,33.86,44,26,0.0635,,
206,33.86,44,18,0.044,,
207,33.86,44,26,0.0635,,
208,33.86,44,26,0.0635,,
209,33.86,44,26,0.0635,,
210,33.86,44,26,0.0635,,
211,33.86,44,26,0.0635,,
